id,name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
64,It,Italian,Cheep,Forest,5:23 AM,2,true
65,Holdlamis,Indian,Medium,Burrows,12:46 PM,2,false
66,Transcof,Thai,Expensive,Center,11:42 AM,3,true
67,Daltfresh,Korean,Cheep,Ryan,11:06 AM,2,true
68,Pannier,Italian,Expensive,Warner,7:04 PM,4,true
69,Otcom,Korean,Cheep,Shasta,11:40 AM,4,true
70,Mat Lam Tam,Mediterranean,Expensive,Helena,4:33 PM,2,false
71,Zamit,Mexican,Cheep,Golf View,12:54 PM,1,false
72,Asoka,Mexican,Medium,Carberry,7:48 PM,3,false
73,Hatity,Thai,Cheep,Hoffman,9:07 AM,2,false
74,Quo Lux,Korean,Medium,Barby,6:32 AM,5,false
75,Bamity,Mexican,Medium,Old Shore,5:37 AM,4,true
76,Namfix,Indian,Cheep,Evergreen,1:45 AM,1,false
77,Vagram,Japanese,Expensive,6th,7:33 PM,5,true
78,Fixflex,Mediterranean,Medium,Morning,9:21 PM,5,false
79,Span,Vegan,Cheep,Daystar,11:06 PM,5,true
80,Greenlam,Mexican,Cheep,Upham,1:44 PM,1,true
81,Y-find,Indian,Expensive,Springs,1:05 PM,2,true
82,Duobam,Korean,Expensive,Hollow Ridge,9:24 PM,3,true
83,Konklux,Indian,Expensive,Grim,3:20 AM,1,false
84,It,Thai,Expensive,Namekagon,10:55 PM,2,false
85,Andalax,Japanese,Medium,Montana,4:49 AM,5,false
86,Rank,Korean,Medium,Macpherson,9:40 PM,3,true
87,Solarbreeze,Japanese,Expensive,Myrtle,2:11 AM,3,true
88,Latlux,Mexican,Cheep,2nd,2:48 AM,5,false
89,Namfix,French,Medium,Fairview,2:36 PM,1,false
90,Redhold,Italian,Medium,Hoard,2:43 PM,2,false
91,Alpha,Thai,Expensive,Victoria,4:22 AM,3,true
92,Rank,Thai,Expensive,Huxley,7:56 AM,2,false
93,Domainer,French,Cheep,Talmadge,2:40 AM,5,false
94,Home Ing,Italian,Expensive,Summit,5:12 PM,1,true
95,Biodex,Vegan,Cheep,Mariners Cove,9:37 PM,5,false
96,Veribet,Mexican,Cheep,Pankratz,8:15 PM,5,true
97,Latlux,American,Expensive,Melrose,6:44 AM,3,false
98,Temp,Indian,Cheep,Autumn Leaf,12:12 AM,4,true
99,Toughjoyfax,Japanese,Medium,New Castle,9:58 AM,2,false
100,Tampflex,Chinese,Cheep,Judy,12:36 PM,2,true
101,Flowdesk,Chinese,Expensive,Dwight,1:01 AM,4,false
102,Fix San,Indian,Expensive,Briar Crest,10:43 PM,3,false
103,Zontrax,Japanese,Expensive,Coleman,2:25 PM,3,false
104,Bitwolf,Thai,Medium,Norway Maple,5:43 AM,1,false
105,Gembucket,Thai,Medium,Rockefeller,8:55 AM,2,true
106,Bigtax,Vegan,Medium,Scoville,4:33 AM,2,true
107,Span,Indian,Expensive,Barnett,7:59 PM,5,false
108,Fixflex,Chinese,Medium,7th,4:14 PM,2,true
109,Lotlux,Vegan,Expensive,Mcguire,8:49 PM,1,true
110,Pannier,Italian,Cheep,Hallows,8:37 AM,1,false
111,Aerified,Korean,Expensive,Kings,12:26 PM,1,false
112,Bitwolf,Mediterranean,Expensive,Dwight,2:05 PM,4,true
113,Viva,Indian,Expensive,Bultman,4:40 AM,5,false
114,Lotstring,American,Medium,Texas,3:35 AM,2,false
115,Namfix,Mediterranean,Expensive,Coleman,6:26 AM,1,false
116,Bigtax,Italian,Medium,Vera,4:50 PM,4,true
117,Veribet,French,Cheep,Buhler,3:27 AM,4,true
118,Konklux,Korean,Medium,Mifflin,5:14 PM,4,true
119,Cookley,Mexican,Medium,Nevada,2:34 PM,4,false
120,Asoka,Japanese,Expensive,Riverside,2:27 AM,4,false
121,Cardify,American,Cheep,Lerdahl,11:58 PM,1,false
122,Aerified,French,Medium,Roxbury,6:21 AM,1,true
123,Stringtough,Chinese,Medium,Bluestem,3:45 AM,5,false
124,Daltfresh,French,Cheep,Crest Line,10:55 AM,5,false
125,Aerified,American,Cheep,Butternut,11:05 PM,2,false
126,Temp,Mediterranean,Expensive,Porter,6:18 PM,3,true
127,Matsoft,Vegan,Medium,Shoshone,5:27 PM,1,false
128,Aerified,Italian,Medium,Browning,2:33 AM,5,false
129,Opela,Thai,Cheep,Mesta,9:55 PM,2,true
130,Matsoft,Korean,Expensive,Utah,4:02 PM,5,true
131,Bamity,French,Expensive,Arapahoe,11:06 AM,5,true
132,Fix San,Italian,Cheep,Farwell,2:50 AM,4,false
133,Hatity,French,Cheep,Lien,5:27 AM,4,true
134,Gembucket,Vegan,Medium,5th,3:17 PM,4,false
135,Tresom,American,Medium,Twin Pines,6:40 PM,5,false
136,Sub-Ex,Thai,Expensive,Morning,10:14 PM,5,false
137,Bamity,Indian,Expensive,Dahle,10:51 PM,4,true
138,Konklab,American,Expensive,High Crossing,12:09 PM,3,true
139,Redhold,Korean,Expensive,Thackeray,4:36 PM,1,true
140,Hatity,Italian,Expensive,Jenna,4:23 AM,3,false
141,Toughjoyfax,Indian,Medium,Corscot,12:45 AM,2,false
142,Namfix,Chinese,Cheep,Meadow Vale,8:19 PM,3,true
143,Wrapsafe,Indian,Expensive,Talmadge,2:30 PM,3,false
144,Span,Chinese,Expensive,Shoshone,2:54 AM,2,false
145,Alpha,Italian,Medium,Pennsylvania,1:38 PM,4,true
146,Ventosanzap,Japanese,Medium,Truax,2:46 PM,1,false
147,Cardify,Chinese,Cheep,Quincy,7:29 AM,5,true
148,Cookley,Indian,Expensive,Veith,7:29 PM,1,true
149,Sonair,Japanese,Medium,6th,11:16 AM,4,true
150,Fix San,Chinese,Expensive,Tony,8:39 AM,2,true
151,Subin,Mexican,Medium,Old Gate,4:22 AM,5,false
152,Hatity,Japanese,Medium,Melody,7:55 PM,3,false
153,Viva,Mediterranean,Cheep,Iowa,2:04 PM,1,true
154,Stringtough,Thai,Cheep,Huxley,5:27 PM,2,false
155,Cardguard,Thai,Cheep,Surrey,4:20 PM,4,true
156,It,Mexican,Cheep,Knutson,1:32 PM,2,false
157,Keylex,Indian,Expensive,Sloan,9:40 PM,4,false
158,Tempsoft,French,Expensive,Fallview,7:25 PM,1,true
159,Veribet,Korean,Medium,Gateway,1:35 PM,1,true
160,Ventosanzap,American,Cheep,Summit,8:21 AM,1,true
161,Wrapsafe,Chinese,Cheep,Algoma,9:23 AM,2,false
162,Voyatouch,Mexican,Medium,Magdeline,4:02 PM,3,true
163,It,American,Cheep,Colorado,12:12 AM,5,true
164,Zoolab,Mediterranean,Medium,Anniversary,8:55 PM,1,true
165,Rank,Indian,Expensive,Armistice,3:54 PM,5,true
166,Daltfresh,Mexican,Expensive,Scoville,3:07 AM,2,false
167,Redhold,Mediterranean,Cheep,Sutteridge,4:08 PM,1,true
168,Zoolab,Mediterranean,Medium,Sachs,3:37 AM,3,true
169,Cardify,Indian,Cheep,American Ash,7:16 PM,1,false
170,Pannier,Indian,Medium,Eagan,1:19 AM,4,false
171,Job,French,Cheep,Meadow Valley,4:36 PM,5,false
172,Cookley,French,Medium,Boyd,3:11 AM,2,false
173,Konklab,Italian,Cheep,Lillian,6:33 AM,3,true
174,Treeflex,Indian,Cheep,Porter,6:24 PM,5,false
175,Y-Solowarm,Mediterranean,Cheep,Carberry,3:11 AM,3,false
176,Zathin,Mediterranean,Cheep,Warner,9:00 PM,1,false
177,Regrant,Thai,Cheep,Clarendon,2:46 PM,3,false
178,Temp,Indian,Medium,Mandrake,6:08 PM,2,true
179,Namfix,Vegan,Cheep,Lunder,6:27 PM,3,true
180,Holdlamis,American,Cheep,Buena Vista,8:40 AM,4,false
181,Prodder,Japanese,Cheep,Summit,9:23 AM,3,false
182,Zamit,Japanese,Medium,Spenser,7:10 PM,1,false
183,Daltfresh,Korean,Medium,Hansons,4:45 AM,2,true
184,Alpha,Japanese,Expensive,Hovde,1:48 PM,1,true
185,Duobam,Vegan,Cheep,Pennsylvania,10:19 PM,2,false
186,Alphazap,Mediterranean,Medium,Rieder,9:47 PM,2,true
187,Fix San,Mediterranean,Cheep,Lakewood,2:04 PM,1,false
188,Flowdesk,Korean,Cheep,Laurel,1:50 PM,5,true
189,Flowdesk,French,Cheep,Hovde,5:32 PM,2,true
190,Redhold,Mexican,Cheep,Northridge,10:26 AM,4,true
191,Otcom,Korean,Expensive,School,7:37 AM,4,false
192,Sonsing,Mediterranean,Expensive,Village Green,6:16 AM,4,false
193,Greenlam,Vegan,Cheep,Glendale,5:55 PM,1,false
194,Quo Lux,American,Cheep,Redwing,2:23 PM,4,false
195,Biodex,Mediterranean,Expensive,Marquette,9:08 PM,3,false
196,Veribet,Indian,Medium,Lakewood Gardens,12:22 AM,2,true
197,Stringtough,American,Medium,Fremont,1:19 PM,5,true
198,Stim,American,Expensive,Pleasure,11:19 PM,3,false
199,Bamity,Thai,Medium,Mccormick,6:28 AM,3,false
200,It,Mexican,Medium,Welch,10:16 PM,1,true
201,Solarbreeze,French,Medium,Chinook,8:32 PM,4,false
202,Kanlam,Korean,Cheep,Florence,2:21 AM,1,true
203,Bitwolf,Japanese,Cheep,Emmet,6:24 PM,5,false
204,Trippledex,French,Expensive,Iowa,6:52 PM,4,false
205,Regrant,Indian,Cheep,Stephen,4:21 PM,5,false
206,Viva,American,Medium,Fieldstone,12:36 PM,1,false
207,Aerified,American,Medium,Blue Bill Park,11:50 AM,2,false
208,Overhold,French,Expensive,Cardinal,7:46 AM,1,false
209,Fix San,French,Medium,Forest Run,11:47 AM,2,false
210,Lotlux,Indian,Expensive,Huxley,5:02 AM,2,false
211,Kanlam,Japanese,Expensive,Park Meadow,11:52 PM,1,false
212,Toughjoyfax,American,Medium,Barby,4:04 AM,2,true
213,Job,Japanese,Medium,Towne,1:17 PM,5,false
214,Opela,French,Cheep,Eggendart,1:52 AM,1,true
215,Holdlamis,Korean,Medium,Miller,7:25 AM,2,false
216,Mat Lam Tam,Italian,Expensive,Bluejay,3:38 PM,5,true
217,Namfix,French,Medium,Hooker,8:14 AM,1,false
218,Toughjoyfax,Japanese,Medium,Del Sol,3:43 AM,2,false
219,Voltsillam,Chinese,Expensive,Arrowood,11:08 AM,2,true
220,Domainer,American,Cheep,Ryan,1:35 PM,5,false
221,Mat Lam Tam,Mediterranean,Cheep,Bartillon,3:49 PM,5,false
222,Wrapsafe,Vegan,Cheep,Ridgeway,12:01 AM,2,true
223,Alphazap,Japanese,Cheep,Blaine,1:07 PM,5,true
224,Mat Lam Tam,Vegan,Cheep,Merrick,7:12 PM,2,false
225,Tampflex,Mexican,Medium,Vidon,2:59 AM,3,false
226,Sub-Ex,Japanese,Expensive,Duke,11:31 AM,2,true
227,Subin,American,Cheep,Algoma,1:04 PM,2,false
228,Subin,Mexican,Cheep,Pennsylvania,5:48 AM,3,true
229,Zontrax,Italian,Expensive,Merchant,12:53 AM,3,true
230,Hatity,Thai,Cheep,5th,8:43 AM,3,false
231,Trippledex,Mexican,Expensive,Eagan,12:09 AM,1,false
232,Alphazap,Italian,Cheep,Northwestern,11:38 PM,4,false
233,Pannier,French,Medium,Caliangt,3:51 AM,1,false
234,Bitwolf,French,Expensive,Emmet,8:28 PM,5,false
235,Aerified,Chinese,Medium,Milwaukee,11:57 PM,3,false
236,Span,Mediterranean,Expensive,Declaration,4:28 PM,3,false
237,Overhold,Chinese,Expensive,Moulton,1:11 AM,5,true
238,Bitchip,Thai,Cheep,Maple Wood,2:14 AM,4,true
239,Solarbreeze,Chinese,Expensive,Charing Cross,11:39 PM,1,false
240,Cardify,Indian,Cheep,Di Loreto,10:34 PM,3,true
241,Veribet,American,Medium,Vermont,9:19 AM,3,true
242,Pannier,French,Medium,Farragut,2:23 AM,3,false
243,Greenlam,Mediterranean,Expensive,Mockingbird,12:22 PM,4,false
244,Duobam,Mediterranean,Expensive,Ilene,6:03 AM,4,true
245,Zaam-Dox,Korean,Medium,Delaware,2:34 PM,2,false
246,It,Thai,Medium,Parkside,10:12 PM,3,true
247,Asoka,French,Expensive,Bellgrove,5:07 PM,4,true
248,Konklab,Chinese,Medium,Moose,12:31 AM,2,true
249,Sub-Ex,Mexican,Expensive,Summerview,9:16 PM,4,false
250,Hatity,Indian,Cheep,Stone Corner,7:24 AM,4,false
251,Bitchip,Vegan,Cheep,Mesta,3:32 AM,1,false
252,Fixflex,Thai,Cheep,Fair Oaks,1:13 PM,5,true
253,Redhold,Japanese,Medium,Village Green,8:26 PM,1,true
254,Cardguard,Thai,Cheep,Reinke,1:11 PM,4,true
255,Konklab,Vegan,Cheep,Manley,12:53 AM,4,true
256,Ronstring,American,Medium,Memorial,11:07 PM,4,true
257,Pannier,Mexican,Expensive,Starling,2:10 PM,4,true
258,Biodex,Chinese,Cheep,Meadow Valley,2:43 AM,1,true
259,Span,American,Cheep,Namekagon,8:06 AM,4,true
260,Stim,Mexican,Medium,Independence,3:00 AM,4,true
261,Gembucket,Korean,Medium,Shoshone,2:46 AM,1,true
262,Tresom,Italian,Expensive,Bluestem,5:38 AM,1,true
263,Otcom,Korean,Expensive,Melody,2:08 AM,5,false
264,Fixflex,Vegan,Expensive,Almo,5:43 PM,1,false
265,Rank,French,Cheep,Schmedeman,12:16 AM,4,true
266,Tres-Zap,Korean,Cheep,Little Fleur,7:26 AM,5,true
267,Bamity,Italian,Medium,Longview,8:03 AM,4,true
268,Tresom,Mediterranean,Expensive,Badeau,1:24 PM,4,false
269,Treeflex,American,Medium,Darwin,11:46 PM,3,true
270,Andalax,Thai,Medium,Arizona,1:27 PM,3,false
271,Asoka,Thai,Cheep,Prentice,9:28 PM,3,true
272,Tampflex,Italian,Cheep,Carberry,7:15 PM,2,false
273,Sonsing,Italian,Cheep,Bowman,3:21 PM,3,true
274,Treeflex,Thai,Cheep,Fallview,4:09 PM,4,true
275,Tin,Japanese,Expensive,Mitchell,3:51 PM,5,false
276,Gembucket,Korean,Expensive,Esker,4:49 AM,1,false
277,Biodex,French,Expensive,Starling,2:32 AM,2,false
278,Redhold,Indian,Medium,Sundown,8:19 AM,2,true
279,Stim,Thai,Cheep,Butternut,10:42 PM,3,true
280,Asoka,Mexican,Medium,Larry,10:00 PM,1,true
281,Bitchip,Mexican,Expensive,Stoughton,9:01 AM,3,true
282,Daltfresh,Korean,Medium,Roxbury,12:35 PM,1,true
283,Home Ing,Thai,Medium,Hoard,9:58 PM,3,false
284,Regrant,Mexican,Medium,Anzinger,10:35 AM,5,false
285,Fixflex,American,Expensive,Golf,4:59 AM,5,false
286,Alpha,American,Expensive,Northland,4:54 PM,2,true
287,Flexidy,Thai,Cheep,Nancy,5:52 PM,4,true
288,Sub-Ex,Mediterranean,Cheep,Lunder,7:21 PM,5,true
289,Temp,Thai,Cheep,Grover,12:41 AM,5,true
290,Fixflex,Japanese,Expensive,Fremont,7:49 PM,2,false
291,Holdlamis,Chinese,Cheep,Delaware,2:37 AM,2,true
292,It,Japanese,Expensive,Banding,3:02 AM,1,true
293,Job,Mexican,Cheep,Farmco,3:12 PM,1,false
294,Andalax,Chinese,Cheep,Clarendon,9:26 PM,4,true
295,Cookley,Thai,Medium,Goodland,10:04 PM,5,true
296,Flexidy,Mexican,Expensive,Shoshone,7:07 PM,3,true
297,Stim,Korean,Expensive,Miller,3:59 PM,5,false
298,Kanlam,Italian,Expensive,Prairie Rose,3:42 PM,3,false
299,Konklab,Italian,Cheep,Bellgrove,10:03 AM,5,false
300,Duobam,Indian,Cheep,Service,1:54 AM,5,false
301,Stringtough,Indian,Medium,Kedzie,5:31 AM,4,false
302,Latlux,Indian,Expensive,Washington,11:11 PM,3,true
303,Fix San,Mediterranean,Medium,Briar Crest,9:20 AM,2,false
304,Prodder,Mediterranean,Expensive,Vermont,3:34 PM,2,false
305,Y-Solowarm,Mediterranean,Cheep,Crownhardt,4:30 AM,2,false
306,Opela,French,Medium,Carpenter,4:36 AM,5,true
307,Stim,Mexican,Expensive,Park Meadow,8:29 PM,3,true
308,Keylex,Vegan,Cheep,Norway Maple,11:03 PM,2,true
309,Asoka,French,Expensive,Eliot,3:58 PM,2,true
310,Zathin,Korean,Medium,Muir,3:29 PM,5,false
311,Aerified,Mexican,Cheep,Norway Maple,5:12 AM,4,true
312,Toughjoyfax,Italian,Medium,Lakewood Gardens,3:54 PM,1,false
313,Vagram,French,Medium,Briar Crest,4:28 AM,2,true
314,Prodder,Italian,Cheep,Crescent Oaks,7:28 PM,4,false
315,Greenlam,Indian,Cheep,Vera,9:51 AM,3,false
316,Zathin,Korean,Cheep,Green Ridge,2:51 AM,5,true
317,Y-Solowarm,Indian,Medium,Mosinee,2:36 AM,3,false
318,Konklab,French,Cheep,Maple Wood,3:44 AM,4,true
319,Hatity,Thai,Cheep,Namekagon,7:30 AM,4,false
320,Holdlamis,French,Expensive,Hauk,3:02 PM,3,false
321,Cookley,Vegan,Cheep,Barnett,12:08 AM,4,true
322,Alpha,Mediterranean,Medium,Mifflin,6:29 PM,4,false
323,Cardguard,Italian,Medium,Buena Vista,3:30 PM,5,true
324,Zaam-Dox,Japanese,Medium,Carey,2:30 AM,5,false
325,Biodex,American,Medium,Shelley,5:09 PM,3,true
326,Andalax,Mediterranean,Cheep,Melrose,2:02 AM,4,false
327,Ronstring,Vegan,Cheep,Marcy,2:56 PM,1,true
328,Trippledex,Italian,Medium,Blaine,4:57 AM,3,true
329,Bitchip,Indian,Cheep,Rowland,12:21 PM,3,true
330,Zaam-Dox,Vegan,Expensive,Independence,1:09 PM,3,false
331,Wrapsafe,Chinese,Expensive,Ramsey,12:38 PM,4,true
332,Rank,Mediterranean,Expensive,Elgar,11:00 AM,2,false
333,Solarbreeze,Japanese,Cheep,Moulton,4:10 PM,5,false
334,Quo Lux,Korean,Cheep,Dennis,6:54 AM,1,false
335,Opela,Italian,Cheep,Glendale,7:19 PM,4,false
336,Treeflex,Mediterranean,Expensive,Annamark,6:50 AM,4,true
337,Cookley,Chinese,Cheep,Susan,5:29 PM,4,false
338,Bitwolf,Mexican,Medium,Westerfield,5:40 PM,1,false
339,Konklux,Thai,Medium,8th,11:08 AM,2,true
340,Ventosanzap,American,Expensive,Northfield,9:05 AM,4,true
341,Wrapsafe,Mediterranean,Expensive,Roth,3:56 PM,2,false
342,Tin,Thai,Cheep,South,6:56 PM,4,false
343,Sub-Ex,Chinese,Expensive,Everett,2:55 PM,3,true
344,Trippledex,Thai,Medium,Goodland,3:46 AM,5,false
345,Zaam-Dox,Vegan,Medium,Crest Line,3:29 PM,3,false
346,Zathin,Italian,Medium,Londonderry,9:45 PM,5,false
347,Vagram,Chinese,Medium,Hallows,10:03 AM,2,true
348,Bamity,Indian,Expensive,Alpine,9:33 AM,3,false
349,Fintone,Mexican,Medium,Roxbury,3:26 PM,1,false
350,Rank,Mexican,Cheep,Spohn,2:29 PM,5,true
351,Zamit,Korean,Cheep,Surrey,3:12 AM,3,true
352,Y-Solowarm,Mediterranean,Cheep,Nevada,12:40 PM,4,false
353,Alphazap,Mediterranean,Expensive,Anhalt,12:09 AM,1,true
354,Prodder,Korean,Cheep,Green Ridge,1:09 PM,4,false
355,Sonsing,Italian,Expensive,Lawn,11:04 AM,5,false
356,Quo Lux,Mexican,Cheep,Texas,12:21 PM,2,false
357,Ronstring,Mexican,Expensive,Nobel,4:33 AM,1,false
358,Otcom,Korean,Expensive,Manitowish,7:09 AM,2,true
359,Zamit,Mediterranean,Medium,Warrior,9:07 AM,1,true
360,Tempsoft,Mediterranean,Medium,Armistice,1:28 AM,3,true
361,Stronghold,Mexican,Cheep,Mcguire,4:34 AM,1,false
362,Tres-Zap,Chinese,Cheep,Blackbird,6:56 AM,4,false
363,Prodder,Indian,Cheep,Starling,1:39 AM,4,true
364,Mat Lam Tam,Thai,Cheep,Commercial,2:31 AM,5,false
365,Tempsoft,Vegan,Expensive,Dwight,12:11 PM,5,true
366,Home Ing,Italian,Medium,Carioca,8:04 PM,4,true
367,Zathin,Vegan,Expensive,Beilfuss,2:31 AM,1,true
368,Alpha,Vegan,Cheep,Lien,3:31 PM,2,true
369,Cookley,Japanese,Cheep,Arkansas,2:38 PM,2,false
370,Regrant,Japanese,Medium,Delaware,5:11 AM,5,false
371,Overhold,Mediterranean,Expensive,Northview,2:24 AM,4,true
372,Asoka,Vegan,Expensive,Monterey,8:12 PM,4,false
373,Opela,Mediterranean,Cheep,Cherokee,2:15 AM,2,false
374,Zaam-Dox,American,Medium,7th,8:51 AM,4,true
375,Keylex,French,Expensive,Pepper Wood,3:43 AM,5,false
376,Ronstring,American,Medium,Lawn,3:50 AM,4,false
377,Viva,Mediterranean,Medium,Oneill,2:06 AM,2,false
378,Home Ing,Thai,Medium,Independence,12:55 PM,2,true
379,Aerified,Italian,Medium,Chinook,7:37 AM,2,false
380,Span,French,Cheep,Mallory,9:08 PM,2,false
381,Gembucket,American,Expensive,Helena,5:36 PM,5,true
382,Gembucket,Italian,Cheep,Welch,8:20 PM,2,true
383,Job,American,Expensive,Mccormick,7:07 PM,1,true
384,Lotstring,Vegan,Expensive,Forest Dale,9:36 AM,4,false
385,Gembucket,Vegan,Expensive,Trailsway,1:01 AM,3,false
386,Biodex,Mexican,Medium,Westerfield,11:43 AM,5,true
387,Cardify,Chinese,Cheep,Vermont,10:25 AM,3,false
388,Andalax,American,Medium,Sunbrook,1:13 PM,3,false
389,Zontrax,Mexican,Expensive,Sugar,6:24 PM,3,false
390,Bamity,American,Cheep,Manitowish,4:07 PM,1,false
391,Pannier,Mexican,Cheep,Lyons,7:29 AM,4,false
392,Voyatouch,Thai,Medium,Bultman,10:50 AM,2,false
393,Konklux,Mediterranean,Cheep,Glacier Hill,5:08 PM,5,false
394,Konklab,Indian,Cheep,Morrow,9:28 AM,4,true
395,Bytecard,Japanese,Medium,Commercial,4:33 AM,1,true
396,Trippledex,Indian,Medium,Ramsey,1:40 AM,1,false
397,Duobam,American,Medium,Novick,5:50 AM,4,false
398,Ventosanzap,American,Medium,Reinke,12:54 AM,3,false
399,Flexidy,Mexican,Expensive,Darwin,4:17 AM,4,true
400,Andalax,Korean,Expensive,Delladonna,3:40 AM,3,false
401,Tempsoft,Korean,Cheep,Texas,12:26 AM,2,false
402,Prodder,French,Expensive,Northland,5:50 PM,5,false
403,Solarbreeze,American,Cheep,Wayridge,6:28 AM,3,true
404,Domainer,Korean,Medium,Barnett,11:35 PM,2,true
405,Cardguard,Mexican,Expensive,Grim,3:52 AM,2,false
406,Keylex,American,Cheep,Stoughton,11:58 PM,4,false
407,Y-Solowarm,French,Expensive,Sutteridge,2:13 AM,4,false
408,Hatity,Korean,Expensive,Delladonna,5:22 PM,2,true
409,Voyatouch,Thai,Cheep,Rigney,9:42 AM,2,false
410,Mat Lam Tam,Chinese,Medium,Eastlawn,2:12 PM,3,true
411,Stringtough,French,Expensive,Butterfield,3:57 AM,1,false
412,Sub-Ex,French,Medium,Golf,12:22 PM,4,true
413,Tempsoft,Korean,Cheep,Service,3:15 PM,2,false
414,Overhold,Chinese,Expensive,Lyons,11:04 PM,5,true
415,It,Vegan,Expensive,Golf Course,10:32 AM,3,false
416,Keylex,Korean,Expensive,Johnson,2:11 AM,1,false
417,Subin,Japanese,Expensive,Independence,10:05 AM,1,false
418,Hatity,Mediterranean,Cheep,Village Green,12:28 AM,5,true
419,Konklab,French,Expensive,Superior,3:18 PM,4,false
420,Alphazap,French,Cheep,Fallview,11:46 PM,5,false
421,Voyatouch,Mexican,Expensive,Center,8:21 PM,3,false
422,Overhold,Chinese,Cheep,Sunfield,6:40 PM,2,true
423,Veribet,Vegan,Expensive,Novick,11:27 PM,5,true
424,Otcom,Italian,Cheep,Stuart,3:52 PM,1,true
